epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.6829,1.21874,4.86381,0.00293,0.58349,0.56079,0.59555,0.42547,1.0587,1.7977,0.00372,0.000471319,0.000471319,0.000471319
2,159,1.25833,1.65807,0.00322,0.66895,0.71864,0.73257,0.50129,1.24844,1.45253,0.00455,0.000885108,0.000885108,0.000885108
3,229.609,1.31976,1.25923,0.00337,0.781,0.70683,0.82486,0.56039,1.24597,1.3954,0.00457,0.00123602,0.00123602,0.00123602
4,299.5,1.2719,1.0139,0.00331,0.85185,0.75152,0.8666,0.62417,1.10679,0.94996,0.00405,0.00114606,0.00114606,0.00114606
5,367.186,1.22812,0.95252,0.00322,0.85847,0.83032,0.91331,0.67709,1.02899,0.9758,0.00372,0.00105174,0.00105174,0.00105174
6,435.507,1.12432,0.8801,0.00344,0.8998,0.84687,0.92676,0.71167,1.0026,0.56532,0.00356,0.00095743,0.00095743,0.00095743
7,503.611,1.11055,0.79681,0.00334,0.90232,0.83766,0.93438,0.70089,1.06362,0.67433,0.00367,0.000863116,0.000863116,0.000863116
8,569.854,1.10614,0.69168,0.00327,0.90809,0.84407,0.92824,0.70906,0.98807,0.81146,0.00358,0.000768802,0.000768802,0.000768802
9,637.275,1.03647,0.65197,0.00294,0.88178,0.8603,0.92609,0.72055,0.94279,0.67803,0.00329,0.000674488,0.000674488,0.000674488
10,706.849,0.97066,0.55016,0.00282,0.95985,0.86275,0.9472,0.76016,0.87602,0.43592,0.00302,0.000580174,0.000580174,0.000580174
11,772.041,0.91631,0.48627,0.00253,0.98235,0.91243,0.96038,0.76264,0.89492,0.38923,0.00314,0.00048586,0.00048586,0.00048586
12,843.446,0.92398,0.45487,0.00263,0.95367,0.92205,0.96408,0.78442,0.85038,0.33995,0.00287,0.000391546,0.000391546,0.000391546
13,911.251,0.85345,0.40513,0.00244,0.93047,0.9484,0.96625,0.78308,0.81499,0.32709,0.00277,0.000297232,0.000297232,0.000297232
14,978.907,0.83133,0.3994,0.00221,0.9698,0.91458,0.96838,0.78812,0.8137,0.3251,0.00281,0.000202918,0.000202918,0.000202918
15,1047.68,0.82029,0.36274,0.00223,0.96972,0.90386,0.96845,0.79499,0.7881,0.31192,0.00261,0.000108604,0.000108604,0.000108604
